Subject,Action,Object
Cosmic ray electrons (CREs),flux comparison at 10 TeV,hadronic particles
CREs flux at 1 TeV,percentage of,0.1% of the flux of hadronic particles
CREs flux at 10 TeV,percentage of,0.01% of the flux of hadronic particles
Neutrino states,possibility of existence beyond,Standard three flavors
Sterile neutrinos,referred to as,additional neutrino states
Sterile neutrinos,not involved in,Standard Model interactions
Sterile neutrinos,interact through,mixing
Mixing,involves,Active neutrino states
Transport coefficients,help classify,gravitational wave event
Gravitational wave event,possible origin,neutron star merger
Estimated value of transport coefficient,compared with,known values for neutron matter
Transport coefficients,provide,additional information
Additional information,concerns,masses of neutron stars
Masses of neutron stars,involved in,merger
Gaseous ionization detector,energy gap for creation of secondary particles or photons,approximately 10-30 eV
Scintillation detector,energy gap for creation of secondary particles or photons,about 5 eV
Semiconductor detector,energy gap for creation of secondary particles or photons,about 0.7-1 eV
HTCondor,is a,batch system
batch system,purpose,distributing jobs
jobs,distributed to,computing resources
HTCondor,used in,implementation
implementation,requires,job scheduling information
implementation,manipulates,submitted jobs
implementation,influences,job to resource matching
Measuring geoneutrino source directions,can reduce,Background noise
Measuring geoneutrino source directions,can provide,Sensitivity to the source signal
Sensitivity to the source signal,improves,Identification of inverse beta decay
Identification of inverse beta decay,reduces,Background
Multimessenger observations,have triggered the development of,Complex multimessenger methods and models
Higgs vacuum expectation value,is gauge-dependent in,direction and magnitude
Temperature,affects,Permeation flux
Permeation flux,increases with,Temperature
Enrichment factor,increases and then decreases,above 75°C
Temperature,affects,Enrichment factor
Desulfurization performance,characterized by,Permeation flux
Desulfurization performance,characterized by,Enrichment factor
PEG@ZIF-8/PVDF#6 membrane,has,Desulfurization performance
Cen A,observed by,EGRET
Gamma-ray flux of Cen A,for energies greater than,100 MeV
Estimated gamma-ray flux of Cen A,is approximately,10^41 erg s^−1
Central Molecular Zone,has,lower cosmic-ray energy density
Lower cosmic-ray energy density,suggests,high energy particle accelerator at the Galactic center
High energy particle accelerator,located at,Galactic center
Barrier,function,suppress penetration of particles
Particles,originate from,cosmic-ray sea
Barrier,location,Central Molecular Zone
Penetration of particles,direction,from cosmic-ray sea to Central Molecular Zone
X-ray diffraction techniques,development over time,use of synchrotron radiation facilities
X-ray diffraction techniques,replaced,laboratory X-ray generators based on X-ray tubes
Most widely used detectors,type,semiconductor
Semiconductor detectors,capability,static and dynamic measurements
Diffraction data,processing method,digitization
Diffraction data,processing tool,computers
High-performance computers,use in,processing diffraction data
Active experimental program investigating the EMC effect,is taking place at,Jefferson Laboratory
K^{0}_{S} mesons,mass resolution within VELO,3.5 MeV
K^{0}_{S} mesons,mass resolution outside VELO,7 MeV
LHCb tracking system,measures mass resolution of,K^{0}_{S} mesons
VELO,part of,LHCb tracking system
AMVA4NewPhysics,has significance for,future studies
future studies,context,LHC and beyond
research outcomes,resulted from,work performed by AMVA4NewPhysics members
work,defined by,four pillars
four pillars,indicates,importance of the results
Glashow resonance,is a resonant interaction between,electron antineutrinos and electrons
Glashow resonance,produces,W^- boson
W^- boson,leads to production of,hadronic cascade
hadronic cascade,is detectable by,IceCube
Glashow resonance,has resonance energy of,6.32 PeV
detection of hadronic cascade at 6.32 PeV,is evidence for,detection of an astrophysical neutrino
Reynolds number,calculated by,actual plasma extension
Reynolds number,calculated by,fluid velocity
Reynolds number,calculated by,mixing zone of the RTI
Reynolds number,calculated by,growth velocity of the RTI
Reynolds number,calculated by,spacing between RTI spikes
Reynolds number,calculated by,variation of fluid velocity in the lateral direction
Different approaches,give result,same order of magnitude for Reynolds number
Same order of magnitude for Reynolds number,consistent with,turbulence theories
Effective models of quantum gravity,describe,effects of quantum gravity
Effects of quantum gravity,occur at,lower energies than the Planck scale
Effective models of quantum gravity,include,Doubly special relativity models
Effective models of quantum gravity,include,String-inspired effective field theory
Effective models of quantum gravity,include,Higher-derivative extensions of general relativity
Effective models of quantum gravity,include,Standard-model extension with Lorentz invariance violation
Effective models of quantum gravity,include,Non-commutative geometries
Effective models of quantum gravity,include,Finsler geometries
Effective models of quantum gravity,include,Hamilton geometries
Effective models of quantum gravity,include,Models with modified uncertainty principles
Effective models of quantum gravity,link to,Fundamental theories
Link between effective models and fundamental theories,yet to be established,rigorously
Quantum gravity,has models,Effective models of quantum gravity
Effective models of quantum gravity,operate below,Planck scale
Effective models of quantum gravity,includes,Doubly special relativity models
Effective models of quantum gravity,includes,String-inspired effective field theory
Effective models of quantum gravity,includes,Higher-derivative extensions of general relativity
Effective models of quantum gravity,includes,Standard-model extension with Lorentz invariance violation
Effective models of quantum gravity,includes,Non-commutative geometries
Effective models of quantum gravity,includes,Finsler geometries
Effective models of quantum gravity,includes,Hamilton geometries
Effective models of quantum gravity,includes,Models with modified uncertainty principles
Effective models of quantum gravity,link to,Fundamental theories
Link between effective models and fundamental theories,status,Yet to be established rigorously
Polymer with oxygen-containing groups,is selected or modified for,CO2-FTMs
Metal ions,can interact with,oxygen-containing groups
white dwarf research,central goal,model the cooling process
controlling the microstructure,difficulty of,the deposited films
entity1,relationship,entity2
Standard model fermions,arise problems in,theories without an elementary Higgs
Weak isospin,needs to be exchanged for,global symmetry
Gauge-invariant states,cannot be achieved by,creating bound states with additional gauge bosons
Gauge-invariant states,cannot be achieved by,creating bound states with single additional fermions
Gauge-invariant states,requires,more complicated bound-states
More complicated bound-states,include,multiple new fermions
More complicated bound-states,being effectively,mixed baryons with new states
Precision experiments,may detect,substructure differences of gauge-invariant standard-model fermions and scalar
PBHs,involved in,baryogenesis
PBHs,preferred mass range for,< {10}^9 g
PBHs,evaporate before,BBN
PBHs,abundance not constrained by,BBN
CALIPSO,stands for,Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observation
CALIPSO,launched by,NASA
CALIPSO,launch date,April 2006
CALIPSO,primary purpose,gather three-dimensional distribution data
data gathered,pertains to,global regional clouds and aerosols
pure gauge operator,have,custodial quantum number
dark matter,exchanges heat with,baryons
baryons,cool down due to,exchange of heat with dark matter
recombination,occurs earlier due to,cooling of baryons
cosmic microwave background,influenced by,earlier recombination
LIV,impact,CPT violating leptogenesis
CPT-violating leptogenesis,is relevant to,generation of matter-antimatter asymmetry
generation of matter-antimatter asymmetry,occurs in,early universe
modeling hadronic cosmic-ray interactions,purpose,include hadronic secondary production
neutrino peak energy,traces,primary cosmic ray energy
neutrino peak energy,used as,direct evidence for cosmic ray acceleration
neutrino peak energy,used as,tracer of primary cosmic ray energy
dark matter particles,search windows besides,direct detection methods
dark matter particles,search windows besides,indirect detection methods
dark matter particles,additional search windows include,astronomical observations
dark matter particles,additional search windows include,astrophysical observations
dark matter particles,additional search windows include,gravitational waves
entity1,relationship,entity2
observable particles,described by,composite operators
observable particles,described by,gauge-invariant operators
machine learning applications,present results in,HEP
deep learning applications,present results in,HEP
ML and DL applications,are,incredibly effective approximation of particle physics environment
ML and DL applications,aid,scientific discovery
White dwarfs,represent,final evolutionary stage of stars less massive than approximately 10 solar masses
Stars less massive than approximately 10 solar masses,evolve into,White dwarfs
Objects more massive than approximately 10 solar masses,collapse into,neutron stars or black holes
97% of stars in the Milky Way,evolve into,White dwarfs
Aharonov-Bohm effect,is explored for,potential applications
Aharonov-Casher effect,is explored for,potential applications
AB effect,is forceless,true
AC effect,is forceless,true
Long Short-Term Memory network,is a type of,Recurrent Neural Network
Recurrent Neural Network,includes,memory cell
Recurrent Neural Network,includes,forget gate
LSTM network,solves,gradient vanishing problems
LSTM network,solves,exploding problems
LSTM network,used for,long-term time series data
Recurrent Neural Network,difference from,traditional neural network
hidden layers in RNN,connected based on,time-sequence relationship
Type I seesaw mechanism,indicates existence of,right-handed neutrinos
Type I seesaw mechanism,introduces,new energy scale
Type I seesaw mechanism,leads to,violation of lepton number
Type I seesaw mechanism,suggests,Majorana nature of light neutrinos
Mass of light neutrinos,is inversely proportional to,energy scale
astrophysical neutrinos,offer advantage in,search for QG effects
QG effects,affect,flavor oscillations
flavor oscillations,amplified by,large path lengths
emergent symmetry,differs from,unification models
unification models,expect,maximum symmetry at the highest energies
symmetry breaking,originates from,spontaneous symmetry breaking
spontaneous symmetry breaking,includes,mass terms induced by the Higgs mechanism
spontaneous symmetry breaking,includes,chiral symmetry breaking in QCD
SPES-{Ag}^+ FTM,CO_2/CH_4 mixed gas selectivity in hollow fiber configuration,87.9
hard X-ray self-seeding,is complicated due to,requirement of precise timing synchronization
X-rays,delayed by,a picosecond or more
electron beam,must be delayed by,the same amount as X-rays
SBN program,is unique in,sterile neutrino searches
SBN program,allows for,control of systematic uncertainties
control of systematic uncertainties,will be,unprecedented
three large precision detectors,have,identical nuclear targets
three large precision detectors,use,the same detection technique
three large precision detectors,are located in,a single neutrino beam
multimessenger approach,is important for,identifying the true nature of a dark matter particle
dark matter signal,detected by,no single experiment
dark matter signal,detected by,no single type of experiment
dark matter particle properties,cannot be established by,single experiment
dark matter particle properties,cannot be established by,single type of experiment
multimessenger approach,combines information from,multiple types of experiments
multiple types of experiments,needed to establish,true nature of a dark matter particle
gamma rays,purpose of detecting in PET imaging,construct an image
primordial black holes,contribute to,dark matter
binaries of primordial black holes,generate,stochastic gravitational wave background (SGWB
spectral shape of SGWB,depends on,primordial black hole mass distribution
spectral shape of SGWB,depends on,binary formation channel
numerical simulation,aims to address,key questions
luminous accretion flows,subject of,numerical simulation
AGNs,context of,luminous accretion flows
new particles and interactions beyond the Standard Model,evidence from,collider experiments
new particles and interactions beyond the Standard Model,evidence from,precision measurements
collider experiments,provide evidence for,new particles and interactions beyond the Standard Model
precision measurements,provide evidence for,new particles and interactions beyond the Standard Model
estimated gamma-ray flux,is smaller than,bolometric luminosity of Cen A
Emergent gauge field,described as,fictitious
Real gauge fields,example of,Yang–Mills gauge fields
Emergent gauge field,not related to,mediating particles
Mediating particles,example of,photons
Emergent gauge field,arises due to,internal degrees of freedom of particles
Internal degrees of freedom,example of,electron's spin
Internal degrees of freedom,example of,valley spin
Particles,undergoes,adiabatic evolution
electron neutrinos,interaction measurement location,SBND
SBND,benefit,SBN physics programs
SBND,benefit,DUNE physics programs
tritium processing facilities,requirement,high total throughput of tritium
tritium processing facilities,function,remove traces of tritium molecules
tritium processing facilities,requirement,maintain purity
tritium processing facilities,requirement,ensure long-term stability
